current (A) - I-V	voltage (V) - I-V	
-1.000000E-2	-5.320521E-6	
-9.900000E-3	6.755604E-4	
-9.800000E-3	6.686233E-4	
-9.700000E-3	6.530922E-4	
-9.600000E-3	6.505037E-4	
-9.500000E-3	6.376647E-4	
-9.400000E-3	6.338337E-4	
-9.300000E-3	6.159213E-4	
-9.200000E-3	6.104337E-4	
-9.100000E-3	6.004938E-4	
-9.000000E-3	5.946955E-4	
-8.900000E-3	5.792681E-4	
-8.800000E-3	5.725379E-4	
-8.700000E-3	5.559715E-4	
-8.600000E-3	5.516228E-4	
-8.500000E-3	5.437538E-4	
-8.400000E-3	5.400263E-4	
-8.300000E-3	5.182829E-4	
-8.200000E-3	5.168333E-4	
-8.100000E-3	5.071005E-4	
-8.000000E-3	4.903053E-4	
-7.900000E-3	4.843002E-4	
-7.800000E-3	4.774668E-4	
-7.700000E-3	4.640072E-4	
-7.600000E-3	4.616259E-4	
-7.500000E-3	4.447496E-4	
-7.400000E-3	4.437142E-4	
-7.300000E-3	4.360526E-4	
-7.200000E-3	4.145171E-4	
-7.100000E-3	4.117217E-4	
-7.000000E-3	4.024035E-4	
-6.900000E-3	3.944312E-4	
-6.800000E-3	3.839741E-4	
-6.700000E-3	3.855272E-4	
-6.600000E-3	3.704374E-4	
-6.500000E-3	3.653638E-4	
-6.400000E-3	3.573910E-4	
-6.300000E-3	3.472438E-4	
-6.200000E-3	3.337832E-4	
-6.100000E-3	3.234289E-4	
-6.000000E-3	3.176304E-4	
-5.900000E-3	3.109001E-4	
-5.800000E-3	3.002352E-4	
-5.700000E-3	2.949545E-4	
-5.600000E-3	2.765238E-4	
-5.500000E-3	2.797337E-4	
-5.400000E-3	2.695864E-4	
-5.300000E-3	2.532223E-4	
-5.200000E-3	2.511515E-4	
-5.100000E-3	2.458709E-4	
-5.000000E-3	2.380017E-4	
-4.900000E-3	2.305467E-4	
-4.800000E-3	2.229882E-4	
-4.700000E-3	2.117022E-4	
-4.600000E-3	2.094243E-4	
-4.500000E-3	2.075606E-4	
-4.400000E-3	1.908904E-4	
-4.300000E-3	1.883019E-4	
-4.200000E-3	1.804327E-4	
-4.100000E-3	1.758769E-4	
-4.000000E-3	1.654192E-4	
-3.900000E-3	1.628236E-4	
-3.800000E-3	1.527805E-4	
-3.700000E-3	1.509168E-4	
-3.600000E-3	1.404596E-4	
-3.500000E-3	1.397349E-4	
-3.400000E-3	1.232725E-4	
-3.300000E-3	1.313484E-4	
-3.200000E-3	1.161284E-4	
-3.100000E-3	1.155072E-4	
