current (A) - I-V	voltage (V) - I-V	
-1.500000E-2	9.510437E-5	
-1.490000E-2	9.593261E-5	
-1.480000E-2	9.821028E-5	
-1.470000E-2	9.883146E-5	
-1.460000E-2	9.334512E-5	
-1.450000E-2	9.054978E-5	
-1.440000E-2	9.375924E-5	
-1.430000E-2	9.634752E-5	
-1.420000E-2	9.293099E-5	
-1.410000E-2	8.568381E-5	
-1.400000E-2	9.044625E-5	
-1.390000E-2	8.195669E-5	
-1.380000E-2	7.843663E-5	
-1.370000E-2	8.734031E-5	
-1.360000E-2	8.278494E-5	
-1.350000E-2	8.609794E-5	
-1.340000E-2	7.822957E-5	
-1.330000E-2	8.340613E-5	
-1.320000E-2	7.357448E-5	
-1.310000E-2	8.040789E-5	
-1.300000E-2	7.595582E-5	
-1.290000E-2	7.636996E-5	
-1.280000E-2	7.502399E-5	
-1.270000E-2	7.253911E-5	
-1.260000E-2	7.098606E-5	
-1.250000E-2	6.912241E-5	
-1.240000E-2	6.829411E-5	
-1.230000E-2	6.394558E-5	
-1.220000E-2	6.115009E-5	
-1.210000E-2	5.835461E-5	
-1.200000E-2	5.876875E-5	
-1.190000E-2	5.845804E-5	
-1.180000E-2	6.259950E-5	
-1.170000E-2	5.814743E-5	
-1.160000E-2	6.011462E-5	
-1.150000E-2	5.773329E-5	
-1.140000E-2	5.089989E-5	
-1.130000E-2	5.234940E-5	
-1.120000E-2	5.328122E-5	
-1.110000E-2	5.038221E-5	
-1.100000E-2	5.348830E-5	
-1.090000E-2	4.810441E-5	
-1.080000E-2	5.214232E-5	
-1.070000E-2	4.510185E-5	
-1.060000E-2	4.106394E-5	
-1.050000E-2	4.479305E-5	
-1.040000E-2	4.292932E-5	
-1.030000E-2	4.344703E-5	
-1.020000E-2	4.303286E-5	
-1.010000E-2	3.599211E-5	
-1.000000E-2	3.443900E-5	
-9.900000E-3	4.406827E-5	
-9.800000E-3	3.578503E-5	
-9.700000E-3	4.417181E-5	
-9.600000E-3	4.179038E-5	
-9.500000E-3	3.619919E-5	
-9.400000E-3	3.143633E-5	
-9.300000E-3	3.381776E-5	
-9.200000E-3	4.127555E-5	
-9.100000E-3	4.086136E-5	
-9.000000E-3	2.884982E-5	
-8.900000E-3	3.268109E-5	
-8.800000E-3	3.309528E-5	
-8.700000E-3	2.957466E-5	
-8.600000E-3	2.998885E-5	
-8.500000E-3	2.957466E-5	
-8.400000E-3	2.884982E-5	
-8.300000E-3	2.864273E-5	
-8.200000E-3	2.180858E-5	
-8.100000E-3	2.884982E-5	
-8.000000E-3	2.274051E-5	
-7.900000E-3	2.802137E-5	
-7.800000E-3	2.740009E-5	
-7.700000E-3	2.015177E-5	
-7.600000E-3	2.325819E-5	
-7.500000E-3	2.242981E-5	
-7.400000E-3	2.066951E-5	
-7.300000E-3	2.253336E-5	
-7.200000E-3	1.953048E-5	
-7.100000E-3	1.694180E-5	
-7.000000E-3	2.004822E-5	
-6.900000E-3	1.383537E-5	
-6.800000E-3	2.160143E-5	
-6.700000E-3	1.611342E-5	
-6.600000E-3	1.673470E-5	
-6.500000E-3	9.176105E-6	
-6.400000E-3	8.554795E-6	
-6.300000E-3	1.021162E-5	
