current (A) - I-V	voltage (V) - I-V	
-5.000000E-3	2.986197E-6	
-4.900000E-3	5.206007E-4	
-4.800000E-3	4.990204E-4	
-4.700000E-3	4.884653E-4	
-4.600000E-3	4.715877E-4	
-4.500000E-3	4.716922E-4	
-4.400000E-3	4.526723E-4	
-4.300000E-3	4.342794E-4	
-4.200000E-3	4.225748E-4	
-4.100000E-3	4.186558E-4	
-4.000000E-3	4.047044E-4	
-3.900000E-3	3.858934E-4	
-3.800000E-3	3.836466E-4	
-3.700000E-3	3.664032E-4	
-3.600000E-3	3.546986E-4	
-3.500000E-3	3.366715E-4	
-3.400000E-3	3.352084E-4	
-3.300000E-3	3.191668E-4	
-3.200000E-3	3.014009E-4	
-3.100000E-3	2.899576E-4	
-3.000000E-3	2.853071E-4	
-2.900000E-3	2.718260E-4	
-2.800000E-3	2.545825E-4	
-2.700000E-3	2.534852E-4	
-2.600000E-3	2.384365E-4	
-2.500000E-3	2.265229E-4	
-2.400000E-3	2.103768E-4	
-2.300000E-3	2.080777E-4	
-2.200000E-3	1.934992E-4	
-2.100000E-3	9.019581E-5	
-2.000000E-3	1.660666E-4	
-1.900000E-3	1.618341E-4	
-1.800000E-3	1.499205E-4	
-1.700000E-3	1.341403E-4	
-1.600000E-3	1.245258E-4	
-1.500000E-3	1.125599E-4	
-1.400000E-3	1.126122E-4	
-1.300000E-3	9.850397E-5	
-1.200000E-3	9.380124E-5	
-1.100000E-3	7.817771E-5	
-1.000000E-3	7.713266E-5	
-9.000000E-4	6.595060E-5	
-8.000000E-4	5.351447E-5	
-7.000000E-4	4.557208E-5	
-6.000000E-4	4.222791E-5	
-5.000000E-4	3.339722E-5	
-4.000000E-4	2.242417E-5	
-3.000000E-4	1.667638E-5	
-2.000000E-4	8.681731E-6	
-1.000000E-4	1.019706E-5	
0.000000E+0	4.240259E-6	
1.000000E-4	1.941144E-6	
2.000000E-4	-4.276892E-6	
3.000000E-4	-2.813827E-6	
4.000000E-4	-1.227150E-5	
5.000000E-4	-2.188593E-5	
6.000000E-4	-2.256521E-5	
7.000000E-4	-3.327694E-5	
8.000000E-4	-4.121931E-5	
9.000000E-4	-5.308060E-5	
1.000000E-3	-5.454366E-5	
1.100000E-3	-6.520314E-5	
1.200000E-3	-7.852750E-5	
1.300000E-3	-8.714913E-5	
1.400000E-3	-9.012752E-5	
1.500000E-3	-1.005780E-4	
1.600000E-3	-1.155222E-4	
1.700000E-3	-1.168285E-4	
1.800000E-3	-1.310411E-4	
1.900000E-3	-1.414393E-4	
2.000000E-3	-1.569583E-4	
2.100000E-3	-1.588916E-4	
2.200000E-3	-1.218447E-4	
2.300000E-3	-1.908701E-4	
2.400000E-3	-2.012160E-4	
2.500000E-3	-2.144881E-4	
2.600000E-3	-2.259836E-4	
2.700000E-3	-2.316792E-4	
2.800000E-3	-2.432269E-4	
2.900000E-3	-2.593207E-4	
3.000000E-3	-2.605225E-4	
3.100000E-3	-2.773477E-4	
3.200000E-3	-2.880595E-4	
3.300000E-3	-3.058253E-4	
3.400000E-3	-3.074973E-4	
3.500000E-3	-3.238001E-4	
3.600000E-3	-3.427154E-4	
3.700000E-3	-3.543154E-4	
3.800000E-3	-3.584434E-4	
3.900000E-3	-3.727083E-4	
4.000000E-3	-3.920939E-4	
4.100000E-3	-3.935047E-4	
4.200000E-3	-4.113750E-4	
4.300000E-3	-4.234976E-4	
4.400000E-3	-4.429354E-4	
4.500000E-3	-4.447121E-4	
4.600000E-3	-4.619032E-4	
4.700000E-3	-4.821248E-4	
4.800000E-3	-4.948222E-4	
4.900000E-3	-5.002564E-4	
