current (A) - I-V	voltage (V) - I-V	
-1.000000E-2	1.023982E-3	
-9.900000E-3	1.012591E-3	
-9.800000E-3	1.004307E-3	
-9.700000E-3	9.847360E-4	
-9.600000E-3	9.774874E-4	
-9.500000E-3	9.602979E-4	
-9.400000E-3	9.484930E-4	
-9.300000E-3	9.442474E-4	
-9.200000E-3	9.336852E-4	
-9.100000E-3	9.145281E-4	
-9.000000E-3	8.951640E-4	
-8.900000E-3	8.874114E-4	
-8.800000E-3	8.779881E-4	
-8.700000E-3	8.598663E-4	
-8.600000E-3	8.477506E-4	
-8.500000E-3	8.425729E-4	
-8.400000E-3	8.246582E-4	
-8.300000E-3	8.176166E-4	
-8.200000E-3	7.951456E-4	
-8.100000E-3	7.847903E-4	
-8.000000E-3	7.700857E-4	
-7.900000E-3	7.619050E-4	
-7.800000E-3	7.545528E-4	
-7.700000E-3	7.375700E-4	
-7.600000E-3	7.223477E-4	
-7.500000E-3	7.163933E-4	
-7.400000E-3	6.980658E-4	
-7.300000E-3	6.939239E-4	
-7.200000E-3	6.787027E-4	
-7.100000E-3	6.661737E-4	
-7.000000E-3	6.568546E-4	
-6.900000E-3	6.471213E-4	
-6.800000E-3	6.258944E-4	
-6.700000E-3	6.178179E-4	
-6.600000E-3	6.072562E-4	
-6.500000E-3	6.069456E-4	
-6.400000E-3	5.818875E-4	
-6.300000E-3	5.673911E-4	
-6.200000E-3	5.646012E-4	
-6.100000E-3	5.440989E-4	
-6.000000E-3	5.368506E-4	
-5.900000E-3	5.206973E-4	
-5.800000E-3	5.128278E-4	
-5.700000E-3	4.932574E-4	
-5.600000E-3	5.067185E-4	
-5.500000E-3	4.760686E-4	
-5.400000E-3	4.681991E-4	
-5.300000E-3	4.620898E-4	
-5.200000E-3	4.540132E-4	
-5.100000E-3	4.366173E-4	
-5.000000E-3	4.208782E-4	
-4.900000E-3	4.158044E-4	
-4.800000E-3	3.990467E-4	
-4.700000E-3	3.827892E-4	
-4.600000E-3	3.746086E-4	
-4.500000E-3	3.653926E-4	
-4.400000E-3	3.587653E-4	
-4.300000E-3	3.419900E-4	
-4.200000E-3	3.377444E-4	
-4.100000E-3	3.198300E-4	
-4.000000E-3	3.136169E-4	
-3.900000E-3	3.089571E-4	
-3.800000E-3	2.930102E-4	
-3.700000E-3	2.815161E-4	
-3.600000E-3	2.791344E-4	
-3.500000E-3	2.639029E-4	
-3.400000E-3	2.535481E-4	
-3.300000E-3	2.486814E-4	
-3.200000E-3	2.283860E-4	
-3.100000E-3	2.221732E-4	
-3.000000E-3	2.159603E-4	
-2.900000E-3	2.053985E-4	
-2.800000E-3	1.972182E-4	
-2.700000E-3	1.849996E-4	
-2.600000E-3	1.728845E-4	
-2.500000E-3	1.683284E-4	
-2.400000E-3	1.519679E-4	
-2.300000E-3	1.413025E-4	
-2.200000E-3	1.356039E-4	
-2.100000E-3	1.339472E-4	
-2.000000E-3	1.207970E-4	
-1.900000E-3	1.259742E-4	
-1.800000E-3	1.053688E-4	
-1.700000E-3	1.101319E-4	
-1.600000E-3	1.048511E-4	
-1.500000E-3	8.227827E-5	
-1.400000E-3	7.958610E-5	
-1.300000E-3	7.109542E-5	
-1.200000E-3	6.250118E-5	
-1.100000E-3	5.297504E-5	
-1.000000E-3	4.759071E-5	
-9.000000E-4	5.193959E-5	
-8.000000E-4	3.236577E-5	
-7.000000E-4	2.957038E-5	
-6.000000E-4	2.315135E-5	
