current (A) - I-V	voltage (V) - I-V	
-1.000000E-2	1.014026E-3	
-9.900000E-3	1.010402E-3	
-9.800000E-3	9.954908E-4	
-9.700000E-3	9.896852E-4	
-9.600000E-3	9.762238E-4	
-9.500000E-3	9.616234E-4	
-9.400000E-3	9.401887E-4	
-9.300000E-3	9.318012E-4	
-9.200000E-3	9.192717E-4	
-9.100000E-3	9.108842E-4	
-9.000000E-3	8.983548E-4	
-8.900000E-3	8.843756E-4	
-8.800000E-3	8.813727E-4	
-8.700000E-3	8.593167E-4	
-8.600000E-3	8.481334E-4	
-8.500000E-3	8.376749E-4	
-8.400000E-3	8.255596E-4	
-8.300000E-3	8.059133E-4	
-8.200000E-3	7.960770E-4	
-8.100000E-3	7.814780E-4	
-8.000000E-3	7.721594E-4	
-7.900000E-3	7.597346E-4	
-7.800000E-3	7.473099E-4	
-7.700000E-3	7.338497E-4	
-7.600000E-3	7.220462E-4	
-7.500000E-3	7.099321E-4	
-7.400000E-3	6.974038E-4	
-7.300000E-3	6.853932E-4	
-7.200000E-3	6.663419E-4	
-7.100000E-3	6.601295E-4	
-7.000000E-3	6.485358E-4	
-6.900000E-3	6.351791E-4	
-6.800000E-3	6.218224E-4	
-6.700000E-3	6.180950E-4	
-6.600000E-3	6.048418E-4	
-6.500000E-3	5.985259E-4	
-6.400000E-3	5.821666E-4	
-6.300000E-3	5.654966E-4	
-6.200000E-3	5.583523E-4	
-6.100000E-3	5.486196E-4	
-6.000000E-3	5.357806E-4	
-5.900000E-3	5.256336E-4	
-5.800000E-3	5.095849E-4	
-5.700000E-3	4.960178E-4	
-5.600000E-3	4.880452E-4	
-5.500000E-3	4.796586E-4	
-5.400000E-3	4.613321E-4	
-5.300000E-3	4.532560E-4	
-5.200000E-3	4.531525E-4	
-5.100000E-3	4.315127E-4	
-5.000000E-3	4.265428E-4	
-4.900000E-3	4.167066E-4	
-4.800000E-3	4.014863E-4	
-4.700000E-3	3.913394E-4	
-4.600000E-3	3.801571E-4	
-4.500000E-3	3.633837E-4	
-4.400000E-3	3.547900E-4	
-4.300000E-3	3.451602E-4	
-4.200000E-3	3.248665E-4	
-4.100000E-3	3.203108E-4	
-4.000000E-3	3.094391E-4	
-3.900000E-3	3.030197E-4	
-3.800000E-3	2.866605E-4	
-3.700000E-3	2.836579E-4	
-3.600000E-3	2.742358E-4	
-3.500000E-3	2.632606E-4	
-3.400000E-3	2.506288E-4	
-3.300000E-3	2.446235E-4	
-3.200000E-3	2.325094E-4	
-3.100000E-3	2.199812E-4	
-3.000000E-3	2.108708E-4	
-2.900000E-3	2.057973E-4	
-2.800000E-3	1.993779E-4	
-2.700000E-3	1.889203E-4	
-2.600000E-3	1.749425E-4	
-2.500000E-3	1.603433E-4	
-2.400000E-3	1.633460E-4	
-2.300000E-3	1.522672E-4	
-2.200000E-3	1.371504E-4	
-2.100000E-3	1.901135E-5	
-2.000000E-3	1.246221E-4	
-1.900000E-3	1.177884E-4	
-1.800000E-3	1.060884E-4	
-1.700000E-3	1.027780E-4	
-1.600000E-3	9.128479E-5	
-1.500000E-3	8.569348E-5	
-1.400000E-3	7.409668E-5	
-1.300000E-3	6.105029E-5	
-1.200000E-3	5.825463E-5	
-1.100000E-3	5.980777E-5	
-1.000000E-3	4.458698E-5	
-9.000000E-4	3.827086E-5	
-8.000000E-4	3.164412E-5	
-7.000000E-4	2.884846E-5	
-6.000000E-4	1.952961E-5	
-5.000000E-4	9.693037E-6	
-4.000000E-4	5.033609E-6	
-3.000000E-4	8.865033E-6	
-2.000000E-4	5.551537E-6	
-1.000000E-4	2.755775E-6	
0.000000E+0	6.794098E-6	
1.000000E-4	-2.470794E-7	
2.000000E-4	2.706536E-7	
3.000000E-4	6.848406E-7	
4.000000E-4	-7.598851E-6	
5.000000E-4	-1.215488E-5	
6.000000E-4	-1.463998E-5	
7.000000E-4	-2.023147E-5	
8.000000E-4	-2.675487E-5	
9.000000E-4	-3.431374E-5	
1.000000E-3	-3.162251E-5	
1.100000E-3	-4.798329E-5	
1.200000E-3	-5.657788E-5	
1.300000E-3	-6.040920E-5	
1.400000E-3	-6.765765E-5	
1.500000E-3	-7.542385E-5	
1.600000E-3	-8.712491E-5	
1.700000E-3	-9.095623E-5	
1.800000E-3	-1.088703E-4	
1.900000E-3	-1.084561E-4	
2.000000E-3	-1.166365E-4	
2.100000E-3	-1.286482E-4	
2.200000E-3	4.516213E-6	
2.300000E-3	-1.398346E-4	
2.400000E-3	-1.514324E-4	
2.500000E-3	-1.594058E-4	
2.600000E-3	-1.731782E-4	
2.700000E-3	-1.799090E-4	
2.800000E-3	-1.840511E-4	
2.900000E-3	-1.980306E-4	
3.000000E-3	-2.043472E-4	
3.100000E-3	-2.092141E-4	
3.200000E-3	-2.226758E-4	
3.300000E-3	-2.308564E-4	
3.400000E-3	-2.485637E-4	
3.500000E-3	-2.582976E-4	
3.600000E-3	-2.633631E-4	
3.700000E-3	-2.712328E-4	
3.800000E-3	-2.813805E-4	
3.900000E-3	-3.003298E-4	
4.000000E-3	-3.105811E-4	
4.100000E-3	-3.199004E-4	
4.200000E-3	-3.273559E-4	
4.300000E-3	-3.341901E-4	
4.400000E-3	-3.440272E-4	
4.500000E-3	-3.496188E-4	
4.600000E-3	-3.707426E-4	
4.700000E-3	-3.835826E-4	
4.800000E-3	-3.902097E-4	
4.900000E-3	-4.044880E-4	
5.000000E-3	-4.173276E-4	
5.100000E-3	-4.229190E-4	
5.200000E-3	-4.319275E-4	
5.300000E-3	-4.461132E-4	
5.400000E-3	-4.573996E-4	
5.500000E-3	-4.737598E-4	
5.600000E-3	-4.802831E-4	
5.700000E-3	-4.868065E-4	
5.800000E-3	-5.060659E-4	
5.900000E-3	-5.077226E-4	
6.000000E-3	-5.178701E-4	
6.100000E-3	-5.401323E-4	
6.200000E-3	-5.510145E-4	
6.300000E-3	-5.617834E-4	
6.400000E-3	-5.728629E-4	
6.500000E-3	-5.838389E-4	
6.600000E-3	-6.000958E-4	
6.700000E-3	-6.169740E-4	
6.800000E-3	-6.184237E-4	
6.900000E-3	-6.302280E-4	
7.000000E-3	-6.395473E-4	
7.100000E-3	-6.555971E-4	
7.200000E-3	-6.681263E-4	
7.300000E-3	-6.799307E-4	
7.400000E-3	-6.879038E-4	
7.500000E-3	-7.100205E-4	
7.600000E-3	-7.091920E-4	
7.700000E-3	-7.292819E-4	
7.800000E-3	-7.435726E-4	
7.900000E-3	-7.524784E-4	
8.000000E-3	-7.547567E-4	
8.100000E-3	-7.805421E-4	
8.200000E-3	-7.951435E-4	
8.300000E-3	-8.136801E-4	
8.400000E-3	-8.149228E-4	
8.500000E-3	-8.239321E-4	
8.600000E-3	-8.392584E-4	
8.700000E-3	-8.474394E-4	
