current (A) - I-V	voltage (V) - I-V	
-1.000000E-2	8.403675E-5	
-9.900000E-3	1.694676E-4	
-9.800000E-3	1.635654E-4	
-9.700000E-3	1.697782E-4	
-9.600000E-3	1.620122E-4	
-9.500000E-3	1.535213E-4	
-9.400000E-3	1.527964E-4	
-9.300000E-3	1.504148E-4	
-9.200000E-3	1.356075E-4	
-9.100000E-3	1.405778E-4	
-9.000000E-3	1.423381E-4	
-8.900000E-3	1.332259E-4	
-8.800000E-3	1.268060E-4	
-8.700000E-3	1.398416E-4	
-8.600000E-3	1.252426E-4	
-8.500000E-3	1.162347E-4	
-8.400000E-3	1.174772E-4	
-8.300000E-3	1.198586E-4	
-8.200000E-3	1.144745E-4	
-8.100000E-3	1.106436E-4	
-8.000000E-3	1.120931E-4	
-7.900000E-3	1.090905E-4	
-7.800000E-3	9.904715E-5	
-7.700000E-3	1.036029E-4	
-7.600000E-3	9.946131E-5	
-7.500000E-3	9.355957E-5	
-7.400000E-3	9.355957E-5	
-7.300000E-3	8.848561E-5	
-7.200000E-3	8.248036E-5	
-7.100000E-3	8.641483E-5	
-7.000000E-3	8.310159E-5	
-6.900000E-3	8.134144E-5	
-6.800000E-3	7.388665E-5	
-6.700000E-3	7.388665E-5	
-6.600000E-3	6.373986E-5	
-6.500000E-3	7.119464E-5	
-6.400000E-3	6.788140E-5	
-6.300000E-3	6.260093E-5	
-6.200000E-3	6.239385E-5	
-6.100000E-3	5.535322E-5	
-6.000000E-3	5.545870E-5	
-5.900000E-3	5.380203E-5	
-5.800000E-3	5.701184E-5	
-5.700000E-3	5.618350E-5	
-5.600000E-3	5.048867E-5	
-5.500000E-3	5.121347E-5	
-5.400000E-3	4.582927E-5	
-5.300000E-3	4.365488E-5	
-5.200000E-3	4.303362E-5	
-5.100000E-3	4.479384E-5	
-5.000000E-3	3.754588E-5	
-4.900000E-3	3.951318E-5	
-4.800000E-3	3.195459E-5	
-4.700000E-3	3.340419E-5	
-4.600000E-3	3.764862E-5	
-4.500000E-3	2.998665E-5	
-4.400000E-3	3.309285E-5	
-4.300000E-3	3.443887E-5	
-4.200000E-3	2.149636E-5	
-4.100000E-3	2.429194E-5	
-4.000000E-3	2.222114E-5	
-3.900000E-3	2.491318E-5	
-3.800000E-3	2.812293E-5	
-3.700000E-3	1.725121E-5	
-3.600000E-3	1.807953E-5	
-3.500000E-3	2.128928E-5	
-3.400000E-3	1.797599E-5	
-3.300000E-3	8.036577E-6	
-3.200000E-3	1.455996E-5	
-3.100000E-3	1.342095E-5	
-3.000000E-3	2.160106E-5	
-2.900000E-3	1.559541E-5	
-2.800000E-3	8.864943E-6	
-2.700000E-3	9.175580E-6	
-2.600000E-3	4.619569E-6	
-2.500000E-3	3.791204E-6	
-2.400000E-3	4.308932E-6	
-2.300000E-3	8.968489E-6	
-2.200000E-3	7.933032E-6	
-2.100000E-3	7.001120E-6	
-2.000000E-3	3.273536E-6	
-1.900000E-3	1.166089E-5	
-1.800000E-3	1.513228E-6	
-1.700000E-3	1.099037E-6	
-1.600000E-3	1.248927E-5	
-1.500000E-3	2.445156E-6	
-1.400000E-3	7.518986E-6	
-1.300000E-3	5.655130E-6	
-1.200000E-3	6.587058E-6	
-1.100000E-3	5.812996E-7	
-1.000000E-3	1.513228E-6	
-9.000000E-4	4.777521E-7	
-8.000000E-4	2.341608E-6	
-7.000000E-4	-9.719085E-7	
-6.000000E-4	6.794165E-6	
-5.000000E-4	2.962899E-6	
-4.000000E-4	5.240949E-6	
-3.000000E-4	-8.683628E-7	
-2.000000E-4	4.516115E-6	
-1.000000E-4	6.356214E-8	
0.000000E+0	3.377090E-6	
1.000000E-4	2.706576E-7	
2.000000E-4	2.706576E-7	
3.000000E-4	2.341612E-6	
4.000000E-4	-2.470804E-7	
5.000000E-4	-1.282551E-6	
6.000000E-4	7.518999E-6	
7.000000E-4	6.356530E-8	
8.000000E-4	2.859397E-6	
9.000000E-4	-1.179020E-6	
1.000000E-3	6.690722E-6	
1.100000E-3	-6.667099E-6	
1.200000E-3	-6.045807E-6	
1.300000E-3	3.791341E-6	
1.400000E-3	9.383004E-6	
1.500000E-3	9.900750E-6	
1.600000E-3	-1.179020E-6	
1.700000E-3	-8.683739E-7	
1.800000E-3	4.777626E-7	
1.900000E-3	5.813119E-7	
2.000000E-3	1.720367E-6	
2.100000E-3	5.813167E-7	
2.200000E-3	1.927467E-6	
2.300000E-3	-3.664211E-6	
2.400000E-3	-5.321001E-6	
2.500000E-3	-7.391987E-6	
2.600000E-3	-2.939366E-6	
2.700000E-3	1.927467E-6	
2.800000E-3	-1.339785E-5	
2.900000E-3	-4.181958E-6	
3.000000E-3	-8.220382E-6	
3.100000E-3	-7.081339E-6	
3.200000E-3	-6.770691E-6	
3.300000E-3	-8.944838E-6	
3.400000E-3	-1.256890E-5	
3.500000E-3	-4.181779E-6	
3.600000E-3	-1.215473E-5	
3.700000E-3	-1.795323E-5	
3.800000E-3	-2.385528E-5	
3.900000E-3	-1.567525E-5	
4.000000E-3	-1.929931E-5	
4.100000E-3	-2.168084E-5	
4.200000E-3	-1.784969E-5	
4.300000E-3	-1.929931E-5	
4.400000E-3	-3.669483E-5	
4.500000E-3	-2.810062E-5	
4.600000E-3	-2.882543E-5	
4.700000E-3	-2.571865E-5	
4.800000E-3	-3.410563E-5	
4.900000E-3	-3.679775E-5	
5.000000E-3	-3.420918E-5	
5.100000E-3	-3.338083E-5	
5.200000E-3	-2.923911E-5	
5.300000E-3	-3.907570E-5	
5.400000E-3	-4.207844E-5	
5.500000E-3	-3.907570E-5	
5.600000E-3	-4.238907E-5	
5.700000E-3	-5.460714E-5	
5.800000E-3	-3.959341E-5	
5.900000E-3	-4.756622E-5	
6.000000E-3	-4.207797E-5	
6.100000E-3	-5.077549E-5	
6.200000E-3	-5.533133E-5	
6.300000E-3	-6.092259E-5	
6.400000E-3	-5.626321E-5	
6.500000E-3	-5.574550E-5	
6.600000E-3	-6.558197E-5	
6.700000E-3	-6.257926E-5	
6.800000E-3	-5.636675E-5	
6.900000E-3	-6.713510E-5	
7.000000E-3	-7.345115E-5	
7.100000E-3	-8.183804E-5	
7.200000E-3	-8.680805E-5	
7.300000E-3	-7.882950E-5	
7.400000E-3	-8.845818E-5	
7.500000E-3	-8.234966E-5	
7.600000E-3	-9.011472E-5	
7.700000E-3	-9.239247E-5	
7.800000E-3	-8.970059E-5	
7.900000E-3	-9.705151E-5	
8.000000E-3	-9.694798E-5	
8.100000E-3	-9.974340E-5	
8.200000E-3	-1.004681E-4	
8.300000E-3	-1.005717E-4	
8.400000E-3	-1.097862E-4	
8.500000E-3	-1.119604E-4	
8.600000E-3	-1.141373E-4	
8.700000E-3	-1.162080E-4	
8.800000E-3	-1.230414E-4	
8.900000E-3	-1.158974E-4	
9.000000E-3	-1.305996E-4	
9.100000E-3	-1.303925E-4	
9.200000E-3	-1.322562E-4	
9.300000E-3	-1.419886E-4	
9.400000E-3	-1.404356E-4	
9.500000E-3	-1.447841E-4	
9.600000E-3	-1.507892E-4	
9.700000E-3	-1.578297E-4	
9.800000E-3	-1.563802E-4	
9.900000E-3	-1.479897E-4	
