current (A) - I-V	voltage (V) - I-V	
-1.000000E-2	3.989488E-4	
-9.900000E-3	7.820570E-4	
-9.800000E-3	7.621758E-4	
-9.700000E-3	7.498536E-4	
-9.600000E-3	7.487146E-4	
-9.500000E-3	7.389811E-4	
-9.400000E-3	7.199283E-4	
-9.300000E-3	7.140261E-4	
-9.200000E-3	7.011862E-4	
-9.100000E-3	6.868966E-4	
-9.000000E-3	6.824440E-4	
-8.900000E-3	6.690864E-4	
-8.800000E-3	6.647374E-4	
-8.700000E-3	6.526223E-4	
-8.600000E-3	6.349646E-4	
-8.500000E-3	6.320655E-4	
-8.400000E-3	6.113577E-4	
-8.300000E-3	6.085622E-4	
-8.200000E-3	6.025569E-4	
-8.100000E-3	5.882686E-4	
-8.000000E-3	5.878544E-4	
-7.900000E-3	5.616591E-4	
-7.800000E-3	5.509946E-4	
-7.700000E-3	5.530653E-4	
-7.600000E-3	5.359814E-4	
-7.500000E-3	5.255240E-4	
-7.400000E-3	5.109250E-4	
-7.300000E-3	5.077266E-4	
-7.200000E-3	4.924025E-4	
-7.100000E-3	4.875361E-4	
-7.000000E-3	4.832909E-4	
-6.900000E-3	4.697270E-4	
-6.800000E-3	4.575091E-4	
-6.700000E-3	4.433239E-4	
-6.600000E-3	4.352477E-4	
-6.500000E-3	4.312096E-4	
-6.400000E-3	4.256184E-4	
-6.300000E-3	4.131934E-4	
-6.200000E-3	3.996295E-4	
-6.100000E-3	3.920710E-4	
-6.000000E-3	3.873233E-4	
-5.900000E-3	3.665107E-4	
-5.800000E-3	3.627830E-4	
-5.700000E-3	3.533604E-4	
-5.600000E-3	3.408314E-4	
-5.500000E-3	3.301663E-4	
-5.400000E-3	3.256103E-4	
-5.300000E-3	3.139096E-4	
-5.200000E-3	3.080076E-4	
-5.100000E-3	3.010700E-4	
-5.000000E-3	2.852276E-4	
-4.900000E-3	2.923722E-4	
-4.800000E-3	2.734234E-4	
-4.700000E-3	2.627786E-4	
-4.600000E-3	2.530446E-4	
-4.500000E-3	2.498344E-4	
-4.400000E-3	2.397897E-4	
-4.300000E-3	2.243603E-4	
-4.200000E-3	2.188720E-4	
-4.100000E-3	2.169044E-4	
-4.000000E-3	1.997146E-4	
-3.900000E-3	1.950547E-4	
-3.800000E-3	1.920516E-4	
-3.700000E-3	1.771399E-4	
-3.600000E-3	1.726871E-4	
-3.500000E-3	1.688557E-4	
-3.400000E-3	1.577755E-4	
-3.300000E-3	1.548836E-4	
-3.200000E-3	1.489808E-4	
-3.100000E-3	1.401783E-4	
-3.000000E-3	1.340684E-4	
-2.900000E-3	1.267157E-4	
-2.800000E-3	1.243339E-4	
-2.700000E-3	1.056933E-4	
-2.600000E-3	1.050720E-4	
-2.500000E-3	1.034150E-4	
-2.400000E-3	9.347341E-5	
-2.300000E-3	8.798481E-5	
-2.200000E-3	7.866454E-5	
-2.100000E-3	7.416243E-6	
-2.000000E-3	6.944800E-5	
-1.900000E-3	6.406294E-5	
-1.800000E-3	6.250956E-5	
-1.700000E-3	5.080741E-5	
-1.600000E-3	5.401773E-5	
-1.500000E-3	4.241915E-5	
-1.400000E-3	3.817323E-5	
-1.300000E-3	3.195970E-5	
-1.200000E-3	4.076220E-5	
-1.100000E-3	2.243229E-5	
-1.000000E-3	2.098247E-5	
-9.000000E-4	1.476894E-5	
-8.000000E-4	1.590809E-5	
-7.000000E-4	2.398611E-5	
-6.000000E-4	6.277229E-6	
-5.000000E-4	9.901853E-6	
-4.000000E-4	6.795033E-6	
-3.000000E-4	6.795033E-6	
-2.000000E-4	6.587911E-6	
-1.000000E-4	7.623518E-6	
0.000000E+0	3.895333E-6	
1.000000E-4	1.616998E-6	
2.000000E-4	2.031241E-6	
3.000000E-4	-9.720135E-7	
4.000000E-4	-5.321534E-6	
5.000000E-4	-2.214734E-6	
6.000000E-4	-8.221215E-6	
7.000000E-4	-6.770506E-6	
8.000000E-4	-1.215492E-5	
9.000000E-4	-1.360457E-5	
1.000000E-3	-1.743579E-5	
1.100000E-3	-3.162165E-5	
1.200000E-3	-1.909253E-5	
1.300000E-3	-3.151811E-5	
1.400000E-3	-3.348549E-5	
1.500000E-3	-3.483159E-5	
1.600000E-3	-4.963873E-5	
1.700000E-3	-4.705007E-5	
1.800000E-3	-5.326286E-5	
1.900000E-3	-5.616216E-5	
2.000000E-3	-6.020257E-5	
2.100000E-3	-6.817592E-5	
2.200000E-3	-7.387117E-5	
2.300000E-3	-7.252502E-5	
2.400000E-3	-8.774688E-5	
2.500000E-3	-8.101613E-5	
2.600000E-3	-9.965514E-5	
2.700000E-3	-1.045220E-4	
2.800000E-3	-1.104243E-4	
2.900000E-3	-1.141521E-4	
3.000000E-3	-1.263711E-4	
3.100000E-3	-1.342409E-4	
3.200000E-3	-1.327912E-4	
3.300000E-3	-1.456264E-4	
3.400000E-3	-1.542208E-4	
3.500000E-3	-1.580520E-4	
3.600000E-3	-1.663357E-4	
3.700000E-3	-1.694421E-4	
3.800000E-3	-1.799003E-4	
3.900000E-3	-1.889089E-4	
4.000000E-3	-1.908763E-4	
4.100000E-3	-1.967784E-4	
4.200000E-3	-2.117927E-4	
4.300000E-3	-2.123104E-4	
4.400000E-3	-2.232863E-4	
4.500000E-3	-2.343658E-4	
4.600000E-3	-2.465917E-4	
4.700000E-3	-2.490769E-4	
4.800000E-3	-2.549792E-4	
4.900000E-3	-2.698904E-4	
5.000000E-3	-2.827305E-4	
5.100000E-3	-2.822128E-4	
5.200000E-3	-2.972275E-4	
5.300000E-3	-3.050973E-4	
5.400000E-3	-3.082037E-4	
5.500000E-3	-3.253930E-4	
5.600000E-3	-3.334699E-4	
5.700000E-3	-3.407183E-4	
5.800000E-3	-3.485881E-4	
5.900000E-3	-3.569845E-4	
6.000000E-3	-3.713782E-4	
6.100000E-3	-3.908461E-4	
6.200000E-3	-3.887750E-4	
6.300000E-3	-4.041007E-4	
6.400000E-3	-4.043078E-4	
6.500000E-3	-4.150773E-4	
6.600000E-3	-4.240863E-4	
6.700000E-3	-4.271929E-4	
6.800000E-3	-4.458323E-4	
6.900000E-3	-4.510099E-4	
7.000000E-3	-4.599154E-4	
7.100000E-3	-4.712026E-4	
7.200000E-3	-4.861182E-4	
7.300000E-3	-4.949203E-4	
7.400000E-3	-5.041365E-4	
7.500000E-3	-5.140776E-4	
7.600000E-3	-5.285750E-4	
7.700000E-3	-5.381019E-4	
7.800000E-3	-5.458684E-4	
7.900000E-3	-5.591232E-4	
8.000000E-3	-5.664755E-4	
8.100000E-3	-5.780734E-4	
8.200000E-3	-5.866683E-4	
8.300000E-3	-5.962988E-4	
8.400000E-3	-6.048937E-4	
8.500000E-3	-6.154471E-4	
8.600000E-3	-6.251810E-4	
8.700000E-3	-6.383320E-4	
8.800000E-3	-6.476516E-4	
8.900000E-3	-6.563500E-4	
9.000000E-3	-6.602849E-4	
9.100000E-3	-6.815130E-4	
9.200000E-3	-6.896936E-4	
9.300000E-3	-6.940428E-4	
9.400000E-3	-7.109217E-4	
9.500000E-3	-7.268686E-4	
9.600000E-3	-7.275935E-4	
9.700000E-3	-7.461450E-4	
9.800000E-3	-7.606405E-4	
9.900000E-3	-7.632290E-4	
