current (A) - I-V	voltage (V) - I-V	
-1.000000E-2	4.101926E-6	
-9.900000E-3	8.081496E-4	
-9.800000E-3	7.937565E-4	
-9.700000E-3	7.847478E-4	
-9.600000E-3	7.719079E-4	
-9.500000E-3	7.674554E-4	
-9.400000E-3	7.611390E-4	
-9.300000E-3	7.462281E-4	
-9.200000E-3	7.289184E-4	
-9.100000E-3	7.152504E-4	
-9.000000E-3	7.169072E-4	
-8.900000E-3	7.067597E-4	
-8.800000E-3	6.971300E-4	
-8.700000E-3	6.721757E-4	
-8.600000E-3	6.736253E-4	
-8.500000E-3	6.636850E-4	
-8.400000E-3	6.458752E-4	
-8.300000E-3	6.361420E-4	
-8.200000E-3	6.222669E-4	
-8.100000E-3	6.155365E-4	
-8.000000E-3	6.062174E-4	
-7.900000E-3	5.961552E-4	
-7.800000E-3	5.869400E-4	
-7.700000E-3	5.739973E-4	
-7.600000E-3	5.654033E-4	
-7.500000E-3	5.535995E-4	
-7.400000E-3	5.453161E-4	
-7.300000E-3	5.295777E-4	
-7.200000E-3	5.237794E-4	
-7.100000E-3	5.128039E-4	
-7.000000E-3	5.007931E-4	
-6.900000E-3	4.912672E-4	
-6.800000E-3	4.806024E-4	
-6.700000E-3	4.673490E-4	
-6.600000E-3	4.617817E-4	
-6.500000E-3	4.450070E-4	
-6.400000E-3	4.377587E-4	
-6.300000E-3	4.246082E-4	
-6.200000E-3	4.196379E-4	
-6.100000E-3	4.114577E-4	
-6.000000E-3	4.125967E-4	
-5.900000E-3	3.926121E-4	
-5.800000E-3	3.842247E-4	
-5.700000E-3	3.682784E-4	
-5.600000E-3	3.673465E-4	
-5.500000E-3	3.511931E-4	
-5.400000E-3	3.463264E-4	
-5.300000E-3	3.439448E-4	
-5.200000E-3	3.329585E-4	
-5.100000E-3	3.236395E-4	
-5.000000E-3	3.048980E-4	
-4.900000E-3	3.024129E-4	
-4.800000E-3	2.860529E-4	
-4.700000E-3	2.776659E-4	
-4.600000E-3	2.741453E-4	
-4.500000E-3	2.667937E-4	
-4.400000E-3	2.499160E-4	
-4.300000E-3	2.508479E-4	
-4.200000E-3	2.310709E-4	
-4.100000E-3	2.209236E-4	
-4.000000E-3	2.104656E-4	
-3.900000E-3	2.074545E-4	
-3.800000E-3	1.989642E-4	
-3.700000E-3	1.866430E-4	
-3.600000E-3	1.805341E-4	
-3.500000E-3	1.765996E-4	
-3.400000E-3	1.644854E-4	
-3.300000E-3	1.639677E-4	
-3.200000E-3	1.538207E-4	
-3.100000E-3	1.498862E-4	
-3.000000E-3	1.396357E-4	
-2.900000E-3	1.364260E-4	
-2.800000E-3	1.203773E-4	
-2.700000E-3	1.158215E-4	
-2.600000E-3	1.097111E-4	
-2.500000E-3	1.089864E-4	
-2.400000E-3	1.027740E-4	
-2.300000E-3	9.407677E-5	
-2.200000E-3	9.397323E-5	
-2.100000E-3	1.114220E-5	
-2.000000E-3	8.009904E-5	
-1.900000E-3	7.119470E-5	
-1.800000E-3	6.270452E-5	
-1.700000E-3	6.115144E-5	
-1.600000E-3	5.121171E-5	
-1.500000E-3	4.686308E-5	
-1.400000E-3	4.292861E-5	
-1.300000E-3	4.303215E-5	
-1.200000E-3	3.133049E-5	
-1.100000E-3	2.853510E-5	
-1.000000E-3	2.698211E-5	
-9.000000E-4	1.548995E-5	
-8.000000E-4	2.014893E-5	
-7.000000E-4	9.588567E-6	
-6.000000E-4	1.072743E-5	
-5.000000E-4	9.899166E-6	
-4.000000E-4	6.482578E-6	
-3.000000E-4	8.863836E-6	
-2.000000E-4	2.548324E-6	
-1.000000E-4	5.757847E-6	
